epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1877.26,1.45736,1.6853,1.35033,0.9454,0.91668,0.94837,0.60445,1.23693,0.83951,1.21844,0.00333171,0.00333171,0.00333171
2,3790.17,1.45801,0.97974,1.34473,0.9385,0.89673,0.94272,0.60715,1.25562,0.70397,1.25615,0.00653308,0.00653308,0.00653308
3,5703.78,1.49998,0.95263,1.38865,0.95013,0.85041,0.92493,0.59369,1.29929,0.78026,1.27833,0.00960244,0.00960244,0.00960244
4,7624.4,1.51428,0.93719,1.41867,0.97155,0.89704,0.95052,0.63301,1.21193,0.67734,1.25207,0.009406,0.009406,0.009406
5,9560.28,1.47612,0.87515,1.40361,0.95202,0.90593,0.95094,0.64227,1.19789,0.63883,1.24171,0.009208,0.009208,0.009208
6,11527.7,1.44217,0.83136,1.3766,0.9371,0.91695,0.9524,0.64115,1.18579,0.602,1.21341,0.00901,0.00901,0.00901
7,1746.48,1.40566,0.78391,1.36062,0.94528,0.91355,0.94912,0.64699,1.1734,0.59134,1.21301,0.008812,0.008812,0.008812
8,3567.41,1.38895,0.7647,1.3465,0.95169,0.91112,0.95048,0.63946,1.1934,0.57563,1.2144,0.008614,0.008614,0.008614
9,5386.45,1.36544,0.74264,1.33132,0.96887,0.93716,0.96558,0.66176,1.1656,0.5435,1.19935,0.008416,0.008416,0.008416
10,7195.67,1.34641,0.71966,1.31527,0.9689,0.93249,0.96909,0.66531,1.15517,0.51995,1.18512,0.008218,0.008218,0.008218
11,8999.98,1.33769,0.70831,1.31108,0.97516,0.93929,0.96757,0.66685,1.164,0.51227,1.19018,0.00802,0.00802,0.00802
12,10804.9,1.32591,0.6964,1.29946,0.97671,0.93698,0.97276,0.67553,1.13535,0.50254,1.17173,0.007822,0.007822,0.007822
13,12620.1,1.31722,0.68603,1.29695,0.97726,0.94026,0.97329,0.67198,1.14445,0.49655,1.1788,0.007624,0.007624,0.007624
14,14473,1.31062,0.67984,1.29743,0.97612,0.93323,0.97407,0.67921,1.14022,0.47608,1.17217,0.007426,0.007426,0.007426
15,1757.14,1.28346,0.64951,1.28153,0.97244,0.94949,0.97578,0.68488,1.12491,0.46324,1.16026,0.007228,0.007228,0.007228
16,3582.98,1.27623,0.64655,1.27448,0.96614,0.94231,0.97161,0.67837,1.13314,0.46849,1.16448,0.00703,0.00703,0.00703
17,1813.08,1.22621,0.60984,1.24715,0.97791,0.94591,0.97729,0.69087,1.12234,0.44345,1.15716,0.006832,0.006832,0.006832
18,3715.62,1.22412,0.60931,1.24392,0.97844,0.94609,0.97855,0.68437,1.13512,0.44609,1.16623,0.006634,0.006634,0.006634
19,5612.65,1.26022,0.62846,1.25893,0.97552,0.94658,0.97709,0.68907,1.11698,0.44373,1.15393,0.006436,0.006436,0.006436
20,7492.25,1.2497,0.62083,1.25434,0.9793,0.9456,0.97952,0.68967,1.12299,0.4405,1.15562,0.006238,0.006238,0.006238
21,9340.4,1.24556,0.61067,1.25369,0.97278,0.94658,0.97712,0.6885,1.11524,0.4381,1.14803,0.00604,0.00604,0.00604
22,11191.4,1.23741,0.6078,1.24403,0.97309,0.94838,0.97832,0.69126,1.1155,0.43173,1.15247,0.005842,0.005842,0.005842
23,13032.3,1.22899,0.60288,1.24136,0.98432,0.94516,0.97905,0.69276,1.10712,0.42737,1.14345,0.005644,0.005644,0.005644
24,14884.9,1.22886,0.60003,1.24358,0.98164,0.94755,0.98074,0.69715,1.10175,0.42049,1.14215,0.005446,0.005446,0.005446
25,16741.8,1.22837,0.59482,1.24053,0.98239,0.94658,0.97919,0.69247,1.10922,0.41986,1.14389,0.005248,0.005248,0.005248
