epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,295.011,1.34544,2.5434,1.23227,0.80526,0.54131,0.62555,0.39943,1.43259,1.75091,1.16928,0.000474816,0.000474816,0.000474816
2,632.278,1.30723,1.56124,1.20587,0.86034,0.62674,0.70875,0.45612,1.43225,1.20153,1.18332,0.000941733,0.000941733,0.000941733
3,988.708,1.29858,1.22294,1.20256,0.86577,0.61154,0.70826,0.45116,1.43657,1.16339,1.20238,0.00139922,0.00139922,0.00139922
4,1322.09,1.28705,1.08429,1.21296,0.86517,0.62726,0.72352,0.46581,1.37718,1.0778,1.14299,0.00138656,0.00138656,0.00138656
5,1652.62,1.26499,1.00828,1.18925,0.85605,0.64246,0.72245,0.47854,1.36647,1.05169,1.14387,0.00137241,0.00137241,0.00137241
6,1988.64,1.22649,0.93612,1.18833,0.87954,0.68605,0.76173,0.49904,1.34313,0.94411,1.13801,0.00135826,0.00135826,0.00135826
7,2332.4,1.22796,0.88162,1.17194,0.89414,0.68295,0.76497,0.51436,1.35799,0.91761,1.1584,0.00134412,0.00134412,0.00134412
8,2675.57,1.20372,0.84826,1.1753,0.90253,0.71399,0.77672,0.51147,1.37037,0.84385,1.15797,0.00132997,0.00132997,0.00132997
9,3016.55,1.18567,0.82278,1.16669,0.8852,0.68078,0.76986,0.50824,1.33521,0.87786,1.13516,0.00131582,0.00131582,0.00131582
10,3364.53,1.18762,0.82233,1.16758,0.88775,0.71645,0.78685,0.5229,1.29915,0.84129,1.13307,0.00130168,0.00130168,0.00130168
11,3715.67,1.17648,0.78052,1.15636,0.91818,0.71604,0.79109,0.5304,1.27904,0.79932,1.15201,0.00128753,0.00128753,0.00128753
12,4062.08,1.15317,0.75961,1.15089,0.8941,0.73329,0.79372,0.53975,1.26151,0.78943,1.12487,0.00127338,0.00127338,0.00127338
13,4406.52,1.14678,0.74509,1.14167,0.94475,0.71723,0.80469,0.55321,1.24178,0.75515,1.10199,0.00125923,0.00125923,0.00125923
14,4749.39,1.14051,0.73538,1.14225,0.91374,0.72586,0.80412,0.54568,1.22676,0.72887,1.09444,0.00124509,0.00124509,0.00124509
15,5091,1.14459,0.73325,1.14891,0.91557,0.73334,0.80558,0.55647,1.22933,0.76103,1.11455,0.00123094,0.00123094,0.00123094
16,5427.39,1.13692,0.7257,1.13595,0.90625,0.75548,0.81708,0.55959,1.21434,0.69501,1.09282,0.00121679,0.00121679,0.00121679
17,5764.64,1.11281,0.69855,1.12697,0.90404,0.74979,0.80801,0.55716,1.21904,0.71187,1.09958,0.00120265,0.00120265,0.00120265
18,268.787,1.10917,0.68684,1.12563,0.87987,0.75033,0.81176,0.54785,1.25011,0.73093,1.10697,0.0011885,0.0011885,0.0011885
19,552.049,1.09788,0.68433,1.11108,0.90726,0.74528,0.80647,0.55144,1.2438,0.71814,1.09913,0.00117435,0.00117435,0.00117435
20,834.967,1.08988,0.66017,1.10944,0.91061,0.77338,0.82216,0.55572,1.22192,0.68852,1.09638,0.00116021,0.00116021,0.00116021
21,1138.97,1.08989,0.66721,1.11684,0.91679,0.75925,0.82394,0.57423,1.19558,0.66592,1.08121,0.00114606,0.00114606,0.00114606
22,1438.73,1.07913,0.65801,1.09901,0.89952,0.76272,0.81822,0.5721,1.20282,0.67989,1.08832,0.00113191,0.00113191,0.00113191
23,1731.03,1.06163,0.6482,1.10391,0.91266,0.75387,0.81945,0.57161,1.22053,0.67806,1.08728,0.00111776,0.00111776,0.00111776
24,2033.97,1.06969,0.64438,1.09191,0.93332,0.76494,0.81993,0.56258,1.21457,0.69248,1.08804,0.00110362,0.00110362,0.00110362
25,2337.59,1.07315,0.63301,1.10154,0.93414,0.75943,0.82338,0.5707,1.21275,0.66367,1.09818,0.00108947,0.00108947,0.00108947
26,2645.09,1.06326,0.61933,1.09559,0.90568,0.76257,0.81954,0.56333,1.20252,0.69152,1.07891,0.00107532,0.00107532,0.00107532
27,2945.87,1.05392,0.63082,1.08841,0.91464,0.77004,0.82404,0.57201,1.18137,0.68495,1.07619,0.00106118,0.00106118,0.00106118
28,3236.7,1.05019,0.60797,1.0876,0.91722,0.74965,0.82736,0.57664,1.17583,0.64886,1.07532,0.00104703,0.00104703,0.00104703
