epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,573.482,1.34544,2.5434,1.23227,0.80526,0.54131,0.62555,0.39943,1.43259,1.75091,1.16928,0.000474816,0.000474816,0.000474816
2,897.197,1.31027,1.57295,1.20576,0.80122,0.60965,0.67322,0.4259,1.435,1.30547,1.19564,0.000943303,0.000943303,0.000943303
3,1203.59,1.29374,1.21416,1.2049,0.79739,0.62004,0.69845,0.43898,1.47991,1.16615,1.21846,0.00140393,0.00140393,0.00140393
4,1553.53,1.27697,1.08973,1.20788,0.81931,0.64516,0.71658,0.45984,1.4132,1.07571,1.17446,0.00139363,0.00139363,0.00139363
5,1871.39,1.25609,1.00608,1.19923,0.86168,0.64712,0.7383,0.48843,1.34712,1.03516,1.17453,0.00138184,0.00138184,0.00138184
6,2206.74,1.22848,0.9315,1.19339,0.88223,0.68081,0.7469,0.47849,1.45056,0.98546,1.20504,0.00137005,0.00137005,0.00137005
7,2545.01,1.22031,0.8938,1.17104,0.85756,0.66799,0.75449,0.50995,1.33809,0.91863,1.1499,0.00135826,0.00135826,0.00135826
8,2883.42,1.21005,0.85186,1.17862,0.89229,0.68908,0.76872,0.50513,1.34975,0.88542,1.14347,0.00134648,0.00134648,0.00134648
9,3252.66,1.18796,0.81259,1.1648,0.90892,0.71269,0.78656,0.52191,1.31862,0.85909,1.13843,0.00133469,0.00133469,0.00133469
10,3697.9,1.1833,0.81743,1.16348,0.90402,0.66915,0.78,0.5282,1.26807,0.87876,1.12571,0.0013229,0.0013229,0.0013229
11,4134.56,1.1816,0.78303,1.16754,0.92388,0.71859,0.7992,0.53203,1.28131,0.78166,1.15617,0.00131111,0.00131111,0.00131111
12,4542.94,1.15807,0.76258,1.15457,0.82388,0.72038,0.78046,0.53144,1.24512,0.82081,1.1121,0.00129932,0.00129932,0.00129932
13,4960.03,1.14328,0.77152,1.13576,0.92665,0.73466,0.8051,0.55426,1.22021,0.7536,1.09645,0.00128753,0.00128753,0.00128753
14,5385.23,1.14959,0.75198,1.14862,0.93367,0.73835,0.80253,0.54838,1.24219,0.7522,1.10894,0.00127574,0.00127574,0.00127574
15,5829.96,1.14388,0.72822,1.1502,0.90242,0.7348,0.80111,0.54526,1.25065,0.77451,1.12549,0.00126395,0.00126395,0.00126395
16,6262.37,1.13593,0.7287,1.13364,0.91263,0.74911,0.81238,0.55537,1.22505,0.71569,1.1023,0.00125216,0.00125216,0.00125216
17,6649.65,1.1176,0.69503,1.13163,0.90481,0.73981,0.8075,0.54813,1.24268,0.74605,1.09936,0.00124037,0.00124037,0.00124037
18,7092.32,1.11023,0.68662,1.11957,0.93561,0.73747,0.81509,0.55755,1.21765,0.71353,1.09169,0.00122858,0.00122858,0.00122858
19,263.603,1.09693,0.67474,1.1167,0.89928,0.73369,0.80495,0.5502,1.22699,0.73813,1.09653,0.00121679,0.00121679,0.00121679
20,561.965,1.10222,0.68239,1.11482,0.9087,0.74421,0.81073,0.5532,1.23187,0.71912,1.09034,0.001205,0.001205,0.001205
21,870.48,1.07744,0.65427,1.10452,0.88456,0.76763,0.81445,0.55256,1.21899,0.69951,1.08806,0.00119322,0.00119322,0.00119322
22,1189.14,1.0899,0.66399,1.11361,0.89043,0.76518,0.81881,0.56602,1.19197,0.68541,1.07444,0.00118143,0.00118143,0.00118143
23,1499.82,1.07729,0.65448,1.09958,0.91222,0.77135,0.82209,0.5613,1.19891,0.69955,1.07617,0.00116964,0.00116964,0.00116964
24,1810.01,1.06105,0.636,1.10291,0.93767,0.74973,0.82359,0.56441,1.22,0.70129,1.08394,0.00115785,0.00115785,0.00115785
25,2132.12,1.07009,0.64184,1.09259,0.91493,0.76782,0.82164,0.55736,1.22262,0.69832,1.08243,0.00114606,0.00114606,0.00114606
26,2450.54,1.08344,0.63832,1.10872,0.92377,0.77028,0.82471,0.57235,1.2098,0.66917,1.08684,0.00113427,0.00113427,0.00113427
27,271.953,1.03859,0.60616,1.08638,0.91209,0.77498,0.81977,0.56654,1.20251,0.65942,1.0818,0.00112248,0.00112248,0.00112248
28,567.961,1.03228,0.60748,1.07806,0.94058,0.77619,0.83131,0.57774,1.19239,0.6488,1.07394,0.00111069,0.00111069,0.00111069
29,845.61,1.01582,0.58708,1.07162,0.91547,0.76955,0.8219,0.5743,1.18257,0.6563,1.07444,0.0010989,0.0010989,0.0010989
30,1117.89,1.02456,0.59334,1.0843,0.916,0.76148,0.82547,0.57635,1.1815,0.66475,1.06708,0.00108711,0.00108711,0.00108711
31,1420.76,1.01116,0.5987,1.06406,0.92469,0.77206,0.83094,0.5792,1.16695,0.65228,1.06543,0.00107532,0.00107532,0.00107532
32,1708.77,1.00614,0.57096,1.076,0.9156,0.78883,0.83683,0.58319,1.18019,0.65442,1.06636,0.00106353,0.00106353,0.00106353
33,1992.53,1.00026,0.5812,1.06166,0.9067,0.78748,0.82827,0.57691,1.16736,0.64387,1.0587,0.00105174,0.00105174,0.00105174
34,2271.28,1.02324,0.5743,1.0761,0.92799,0.78521,0.84314,0.58275,1.16763,0.62617,1.06547,0.00103995,0.00103995,0.00103995
35,2551.08,1.02204,0.58548,1.07329,0.93541,0.77106,0.8277,0.57202,1.17237,0.70135,1.06319,0.00102817,0.00102817,0.00102817
36,2830.09,1.03697,0.60137,1.07919,0.92684,0.78889,0.83553,0.58405,1.17147,0.65186,1.06158,0.00101638,0.00101638,0.00101638
37,3108.84,1.02175,0.58049,1.071,0.91716,0.78872,0.83543,0.58535,1.18489,0.63844,1.06093,0.00100459,0.00100459,0.00100459
38,3386.48,1.02124,0.57954,1.06944,0.91542,0.77587,0.83545,0.58875,1.1475,0.63479,1.04811,0.000992798,0.000992798,0.000992798
39,3667.68,1.00544,0.5688,1.05911,0.92174,0.78953,0.84148,0.59192,1.13722,0.63229,1.04639,0.000981008,0.000981008,0.000981008
40,3950.22,1.01274,0.57109,1.06794,0.93839,0.78263,0.84288,0.59321,1.13198,0.59456,1.0437,0.000969219,0.000969219,0.000969219
41,4229.92,1.00463,0.56846,1.06877,0.94877,0.7764,0.83769,0.59878,1.13555,0.59754,1.04667,0.00095743,0.00095743,0.00095743
42,4508.31,1.00577,0.56978,1.05854,0.93465,0.76972,0.84172,0.59555,1.12442,0.62443,1.04224,0.000945641,0.000945641,0.000945641
43,4785.07,0.99528,0.55393,1.05886,0.91831,0.79084,0.84894,0.59529,1.14582,0.60913,1.05229,0.000933851,0.000933851,0.000933851
44,5062.84,0.98554,0.54424,1.05094,0.92104,0.79788,0.84424,0.5971,1.13731,0.6054,1.05001,0.000922062,0.000922062,0.000922062
45,5342.49,0.98514,0.57146,1.0566,0.94231,0.77648,0.84058,0.60115,1.12451,0.60009,1.04223,0.000910273,0.000910273,0.000910273
46,5624.94,1.00122,0.56076,1.05542,0.91244,0.79005,0.84136,0.60546,1.1178,0.60209,1.03338,0.000898484,0.000898484,0.000898484
47,5905.13,0.99341,0.54558,1.06121,0.92421,0.79368,0.8444,0.59918,1.13072,0.58327,1.04504,0.000886694,0.000886694,0.000886694
48,6183.73,0.99482,0.55502,1.05164,0.93164,0.7874,0.84575,0.59827,1.15448,0.59745,1.04863,0.000874905,0.000874905,0.000874905
49,6463.06,0.98732,0.53703,1.04532,0.93506,0.78157,0.8429,0.60152,1.14304,0.58959,1.03685,0.000863116,0.000863116,0.000863116
50,6741.04,0.98035,0.53988,1.04903,0.92179,0.79626,0.84335,0.60451,1.11817,0.55859,1.02441,0.000851327,0.000851327,0.000851327
51,7017.79,0.97835,0.53706,1.05076,0.9286,0.7856,0.8452,0.60185,1.13699,0.58987,1.0384,0.000839537,0.000839537,0.000839537
52,7294.5,0.96914,0.53526,1.046,0.92171,0.79565,0.8483,0.60654,1.09744,0.5962,1.02423,0.000827748,0.000827748,0.000827748
